v8-version,6,0,287,53,0
code-creation,Stub,3,4925,0x3a8437e1f3c0,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4930,0x3a8437e1f5c0,2307,"RecordWriteStub"
code-creation,Handler,4,4936,0x3a8437e1fee0,764,"An IC handler from the snapshot"
code-creation,Stub,3,4942,0x3a8437e201e0,2298,"RecordWriteStub"
code-creation,Stub,3,4959,0x3a8437e20ae0,2328,"RecordWriteStub"
code-creation,Stub,3,4965,0x3a8437e21400,2270,"RecordWriteStub"
code-creation,Stub,17,4971,0x3a8437e21ce0,248,"BinaryOpICStub"
code-creation,Stub,17,4977,0x3a8437e21de0,272,"BinaryOpICStub"
code-creation,Stub,3,4982,0x3a8437e21f00,2332,"RecordWriteStub"
code-creation,Stub,3,4988,0x3a8437e22820,2289,"RecordWriteStub"
code-creation,Stub,17,4994,0x3a8437e23120,228,"BinaryOpICStub"
code-creation,Stub,3,4999,0x3a8437e23220,2339,"RecordWriteStub"
code-creation,Stub,17,5005,0x3a8437e23b60,228,"BinaryOpICStub"
code-creation,Stub,3,5011,0x3a8437e23c60,2285,"RecordWriteStub"
code-creation,Stub,3,5016,0x3a8437e24560,543,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5022,0x3a8437e24780,2346,"RecordWriteStub"
code-creation,Stub,3,5028,0x3a8437e250c0,495,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5034,0x3a8437e252c0,436,"CEntryStub"
code-creation,Stub,17,5039,0x3a8437e25480,300,"BinaryOpICStub"
code-creation,Stub,17,5045,0x3a8437e255c0,264,"BinaryOpICStub"
code-creation,Stub,17,5051,0x3a8437e256e0,228,"BinaryOpICStub"
code-creation,Stub,3,5056,0x3a8437e257e0,2328,"RecordWriteStub"
code-creation,Stub,3,5062,0x3a8437e26100,2358,"RecordWriteStub"
code-creation,Stub,3,5068,0x3a8437e26a40,215,"DoubleToIStub"
code-creation,Stub,3,5073,0x3a8437e26b20,1012,"RecordWriteStub"
code-creation,Stub,3,5079,0x3a8437e26f20,2289,"RecordWriteStub"
code-creation,Stub,3,5085,0x3a8437e27820,2304,"RecordWriteStub"
code-creation,Stub,3,5090,0x3a8437e28120,2332,"RecordWriteStub"
code-creation,Stub,17,5096,0x3a8437e28a40,228,"BinaryOpICStub"
code-creation,Stub,17,5102,0x3a8437e28b40,248,"BinaryOpICStub"
code-creation,Stub,3,5107,0x3a8437e28c40,2298,"RecordWriteStub"
code-creation,Stub,17,5113,0x3a8437e29540,240,"BinaryOpICStub"
code-creation,Stub,3,5119,0x3a8437e29640,2282,"RecordWriteStub"
code-creation,Stub,17,5125,0x3a8437e29f40,173,"BinaryOpICStub"
code-creation,Stub,3,5130,0x3a8437e2a000,2274,"RecordWriteStub"
